32;Gizela;Dąbrowska;gd72219@prac.biblioteka.pl;7ehębc!żlj9keu@@c;853496426;6700
33;Bohdan;Górski;bg39621@prac.biblioteka.pl;pć0xqę4y7hb;315201681;3500
34;Ludmiła;Ślusarczyk;lś41881@prac.biblioteka.pl;_6uf0@&fvq7;278465740;4700
35;Jacek;Kuś;jk71778@prac.biblioteka.pl;ź_ćqw@ę7ąbu;310137581;3800
36;Sławomir;Szczepaniak;ss42713@prac.biblioteka.pl;$19ow2jqf;502508922;6400
37;Wacław;Sołtys;ws10353@prac.biblioteka.pl;śużcńćźiw;774803385;6300
38;Valerii;Kurek;vk37718@prac.biblioteka.pl;9s_61h0a3ówoló8i0u;394950405;3600
39;Dariusz;Szwed;ds25374@prac.biblioteka.pl;ac&ńmńąłq-wcu1ż;314103061;6800
40;Eugeniusz;Bednarczyk;eb23432@prac.biblioteka.pl;u#s^n#&źśw88w?1daq;247135152;7700
41;Bogumił;Kaczyński;bk43356@prac.biblioteka.pl;%ts*&*łpśrvy;389469198;3400
42;Aurelia;Łukaszewska;ał77420@prac.biblioteka.pl;d7ł$q_4wl!r8tać6_;252388447;7400
43;Liwia;Sikora;ls56135@prac.biblioteka.pl;syzy^łp%3rćr97wipźń-;462196483;5800
44;Zdzisław;Frączek;zf59182@prac.biblioteka.pl;xn_4łąźm?e^msv$xt;735631163;4900
45;Halyna;Antczak;ha84722@prac.biblioteka.pl;$vzń2eg$d1jzwmrmę;203625897;5100
46;Albina;Misiak;am32005@prac.biblioteka.pl;śó6_l_&lk765d$lów38;373807329;2500
47;Antoni;Więckowski;aw50422@prac.biblioteka.pl;tńux^t6uózqcęlb;961944172;4000
48;Anatolii;Sosnowski;as59510@prac.biblioteka.pl;jz1śńhbfiaxśj0v0ć;400553426;5100
49;Dzmitry;Marzec;dm31077@prac.biblioteka.pl;8u?oćńjtx19bćupnpm;193027502;6700
50;Sofia;Rusin;sr69399@prac.biblioteka.pl;i3pć_keś;922197994;6700
51;Elżbieta;Skibińska;es06160@prac.biblioteka.pl;%ąroxbyńtlaqfżbęs;406669420;7800
52;Grzegorz;Godlewski;gg46915@prac.biblioteka.pl;dąórd$h#439ó;298047304;6100
53;Peter;Ostrowski;po71737@prac.biblioteka.pl;_p%ootó80$h_vxcx0;565241370;7700
54;Aleksy;Łuczak;ał97178@prac.biblioteka.pl;q2vi8fąe;312017460;3200
55;Maksymilian;Nowacki;mn46325@prac.biblioteka.pl;v26c11zbxw9ane_;415908519;7400
56;Roman;Pawłowski;rp20524@prac.biblioteka.pl;ał0z!ecftćnósy;465407588;5100
57;Brajan;Gruszka;bg05152@prac.biblioteka.pl;hąb-śfflńgźgćńęe@w;735997496;3700
58;Izabela;Matuszak;im94976@prac.biblioteka.pl;raefą*j-t^ćł%ćyjm;791959112;7400
59;Rozalia;Hajduk;rh02785@prac.biblioteka.pl;xa&eoahj^wy_q;612241227;4300
60;Apolonia;Krawczyk;ak42394@prac.biblioteka.pl;qźm0ć*3udgt4rż;678473035;5100
61;Leon;Chmiel;lc31140@prac.biblioteka.pl;&#87*fhóśleś1vbł8vsż;658579266;6500
62;Daria;Różańska;dr68371@prac.biblioteka.pl;ć#w1dw744rwqh%&ń;529569745;7700
63;Filip;Sosnowski;fs79401@prac.biblioteka.pl;t_cdxętęźąuź;805855556;5300
64;Anita;Juszczak;aj02545@prac.biblioteka.pl;ńgłuc?0*dją*&xk;352716737;7100
65;Bogusław;Bury;bb35040@prac.biblioteka.pl;u^85haźó2p9bwcop2zf;865965430;3200
66;Hieronim;Rogalski;hr20987@prac.biblioteka.pl;z!j$gćlcw*axelę;768671641;6000
67;Hanna;Jakubiak;hj20367@prac.biblioteka.pl;pbnylab0m?a3l;389145249;7800
68;Wiesław;Wolny;ww73587@prac.biblioteka.pl;9źłj1ęąćctoąr$uyówh;552301328;3400
69;Witold;Jaworski;wj45229@prac.biblioteka.pl;pbilumń59-l;457148087;6500
70;Bernadeta;Skowron;bs72644@prac.biblioteka.pl;hov9qh2g@;149760555;4300
71;Marzena;Komorowska;mk64936@prac.biblioteka.pl;a%y@fu^k;514786797;8000
72;Daniela;Świątek;dś01669@prac.biblioteka.pl;ępś7u^ił_2;706198823;5400
73;Alla;Kubica;ak21136@prac.biblioteka.pl;lżz&%ąćg*oż92u^6o0r;697453993;4900
74;Ksawery;Bednarczyk;kb91587@prac.biblioteka.pl;rp!ź6*ymą;894354826;5800
75;Violetta;Socha;vs75650@prac.biblioteka.pl;6k9qtśxifas25q;487521929;6600
76;Kalina;Czapla;kc84530@prac.biblioteka.pl;dćtwxsżńo@wj&#x05hć;540306445;3300
77;Anna;Urban;au67054@prac.biblioteka.pl;wząswkżugab^$!t;381449170;3600
78;Przemysław;Mikołajczyk;pm55190@prac.biblioteka.pl;hr89&błkpwó&v7;375642076;5200
79;Nikodem;Krawczyk;nk16714@prac.biblioteka.pl;mvo98qń4ł3n^ió-ćo1p;519741413;4200
80;Kevin;Michalak;km74036@prac.biblioteka.pl;l!gw7pj#7źg1uwy9?q;897038623;4100
81;Florian;Zając;fz21188@prac.biblioteka.pl;tp1q2muę3t;608740558;2700
82;Bogusław;Smoliński;bs28071@prac.biblioteka.pl;i@łjsdg#5-ab;684675122;3100
83;Zdzisława;Pałka;zp34686@prac.biblioteka.pl;hźic9no^;228723173;3000
84;Natasza;Szczepańska;ns66551@prac.biblioteka.pl;kwżaźuućvsc9u##k;783744001;7100
85;Feliks;Sikorski;fs56055@prac.biblioteka.pl;dók0%ńhą0ś*kpl8r*ź;899087565;4600
86;Luiza;Piotrowska;lp67134@prac.biblioteka.pl;muźqed&&;989788787;6900
87;Kevin;Białas;kb38828@prac.biblioteka.pl;6yżpłs?o4mllś%wug;270917667;6200
88;Eugenia;Kula;ek33854@prac.biblioteka.pl;ąu7nh0^bzh3;433911053;5800
89;Natalia;Baranowska;nb14359@prac.biblioteka.pl;pd3ó2ćsćf2u*źdz^łs1&;934496534;7100
90;Gizela;Polak;gp44621@prac.biblioteka.pl;m997ąfłcąńsżu3@iw4ę;837030315;5200
91;Brajan;Jabłoński;bj31764@prac.biblioteka.pl;^lńw54śęj#0ucdeexzb;932152065;6200
92;Valentyna;Kruk;vk16668@prac.biblioteka.pl;k^15pcżąn6v;568915755;7600
93;Illia;Gąsior;ig68071@prac.biblioteka.pl;d*lj#ńr9h0;904196167;7200
94;Franciszek;Nowak;fn58236@prac.biblioteka.pl;x0tsać-v6x6kx*vdx#*;782635661;7500
95;Nazar;Biernat;nb60874@prac.biblioteka.pl;zm7spoyj5łaiq&67;453827028;5600
96;Renata;Gałązka;rg43852@prac.biblioteka.pl;kbbłąź4^órg@8d@cva;752954734;3100
97;Aliaksandr;Kostrzewa;ak47495@prac.biblioteka.pl;ń6xzhm!ńkż1x4ąlsńk;117444236;7000
98;Patrycja;Różycka;pr38551@prac.biblioteka.pl;fk7łno1q#6;275085550;5400
99;Norbert;Kwaśniewski;nk32731@prac.biblioteka.pl;iąńwx5jó8;133072301;3100
100;Hanna;Serafin;hs72062@prac.biblioteka.pl;#ugmzlecvo!vdej;321809777;6200
